Date,Open,High,Low,Close,Adj Close,Volume
2021-01-04,19.1,19.1,18.44,18.6,18.1348,155421643
2021-01-05,18.4,18.48,17.8,18.17,17.7155,182135210
2021-01-06,18.08,19.56,18,19.56,19.0707,193494512
2021-01-07,19.52,19.98,19.23,19.9,19.4022,158418530
2021-01-08,19.9,20.1,19.31,19.85,19.3535,119547322
2021-01-11,20,20.64,20,20.38,19.8702,179045714
2021-01-12,20.39,21,20.18,21,20.4747,128816550
2021-01-13,21,21.01,20.4,20.7,20.1822,104911973
2021-01-14,20.68,20.89,19.95,20.17,19.6655,113015562
2021-01-15,21,21.95,20.82,21,20.4747,248068898
2021-01-18,21.2,22.78,21.2,22.7,22.1322,215730178
2021-01-19,22.51,22.84,22.05,22.34,21.7812,124208834
2021-01-20,22.15,22.97,22.12,22.47,21.908,128079316
2021-01-21,22.5,22.8,22.15,22.23,21.674,94477860
2021-01-22,22.23,22.23,21.51,22.03,21.479,92443442
2021-01-25,21.72,22.6,21.43,22.49,21.9275,102836527
2021-01-26,22.3,23.32,22.3,22.37,21.8105,112672055
2021-01-27,22.31,23.47,22.31,23.08,22.5027,129415272
2021-01-28,22.78,23.18,22.45,22.81,22.2395,85747696
2021-01-29,22.81,23.54,22.71,23.09,22.5125,124025841
2021-02-01,23,24.99,22.7,24.55,23.9359,147523930
2021-02-02,23.38,24.1,22.91,23.28,22.6977,241616877
2021-02-03,23.48,25.18,23.38,24.95,24.3259,192327159
2021-02-04,24.18,25.24,24.04,24.6,23.9847,125524750
2021-02-05,24.6,25.31,24.27,24.93,24.3064,101557559
2021-02-08,24.9,24.9,24.1,24.8,24.1797,108426467
2021-02-09,24.79,24.84,24.17,24.58,23.9652,94209355
2021-02-10,24.6,24.96,23.38,23.82,23.2242,191886710
2021-02-18,24,24.55,23.48,24.3,23.6922,150523081
2021-02-19,23.96,24.19,23.57,23.85,23.2534,92258314
2021-02-22,23.8,23.8,22.26,22.38,21.8202,195684248
2021-02-23,22.38,22.68,21.82,21.93,21.3815,187046013
2021-02-24,22.27,22.28,21.56,22.16,21.6057,142849985
2021-02-25,22.4,22.56,21.68,22.09,21.5375,159340347
2021-02-26,21.6,21.96,21.21,21.38,20.8452,112497730
2021-03-01,21.54,21.68,21.18,21.45,20.9135,112538653
2021-03-02,21.62,22.15,21.26,21.65,21.1085,147342505
2021-03-03,21.58,23.08,21.46,23.01,22.4345,191963527
2021-03-04,22.77,23.49,22.65,22.92,22.3467,121357937
2021-03-05,22.7,22.98,21.86,22.34,21.7812,88017141
2021-03-08,22.44,22.69,21.48,21.6,21.0597,99377397
2021-03-09,21.68,21.92,20.58,20.85,20.3285,136189533
2021-03-10,20.84,20.91,20.28,20.4,19.8897,114941657
2021-03-11,20.58,21.38,20.56,21.27,20.738,104865939
2021-03-12,21.37,21.7,21.2,21.48,20.9427,69720060
2021-03-15,21.4,22.12,21.11,21.6,21.0597,95874870
2021-03-16,21.6,22.11,21.27,21.66,21.1182,93968432
2021-03-17,21.45,21.55,20.9,21.2,20.6697,82148865
2021-03-18,21.3,21.73,21,21.73,21.1865,69161019
2021-03-19,21.53,21.65,20.37,20.47,19.958,152562227
2021-03-22,20.55,21.55,20.53,21.55,21.011,145119008
2021-03-23,21.57,21.65,20.96,21.23,20.699,68290338
2021-03-24,21.21,21.28,20.45,20.53,20.0165,85008507
2021-03-25,20.58,20.83,20.4,20.75,20.231,49266574
2021-03-26,20.84,21.4,20.76,21.14,20.6112,82210806
2021-03-29,21.28,21.65,21.2,21.49,20.9525,78566668
2021-03-30,21.38,21.93,21.21,21.93,21.3815,73865481
2021-03-31,21.77,22.07,21.6,22.01,21.4595,77702807
2021-04-01,22.08,22.11,21.5,21.78,21.2352,54444898
2021-04-02,21.7,21.73,21.36,21.5,20.9622,58108352
2021-04-06,21.55,22.09,21.51,21.68,21.1377,40110282
2021-04-07,21.88,21.93,21.31,21.64,21.0987,51760459
2021-04-08,21.46,21.73,21.33,21.56,21.0207,38302950
2021-04-09,21.71,21.72,21.08,21.3,20.7672,39896028
2021-04-12,21.51,21.51,20.63,20.7,20.1822,59474314
2021-04-13,20.72,20.88,20.59,20.78,20.2602,49990418
2021-04-14,20.79,20.94,20.42,20.67,20.153,53743849
2021-04-15,20.76,20.77,20.08,20.36,19.8507,73586505
2021-04-16,20.36,20.43,19.81,20.26,19.7532,72999826
2021-04-19,20.03,21.24,19.91,21.15,20.621,111228262
2021-04-20,21.08,21.95,20.92,21.69,21.1475,83477272
2021-04-21,22.3,23.19,22.29,23.01,22.4345,159709965
2021-04-22,23.19,23.23,22.78,22.98,22.4052,82969388
2021-04-23,23.32,23.65,23.07,23.29,22.7074,82323015
2021-04-26,23.87,24.23,22.9,22.94,22.3662,87241767
2021-04-27,22.95,23.19,22.86,22.94,22.3662,47043140
2021-04-28,23.29,23.45,22.78,23.35,22.7659,59383793
2021-04-29,23.34,23.71,23.11,23.59,22.9999,61483688
2021-04-30,23.35,23.49,23.01,23.29,22.7074,56198132
2021-05-06,23.1,23.7,23.1,23.5,22.9122,50029522
2021-05-07,23.67,24.3,23.39,24.05,23.4484,80221421
2021-05-10,24,24.04,23.02,23.86,23.2632,66143890
2021-05-11,23.62,23.75,23.06,23.53,22.9414,49722345
2021-05-12,23.29,23.64,22.88,23.55,22.9609,53326526
2021-05-13,23.52,23.59,22.84,23.07,22.493,54965250
2021-05-14,23.14,23.43,22.6,23.32,22.9122,56378536
2021-05-17,23.15,23.82,22.95,23.6,23.1873,52756465
2021-05-18,23.85,24.11,23.4,23.9,23.4821,39541498
2021-05-19,23.82,24.13,23.52,23.6,23.1873,42942033
2021-05-20,23.41,23.84,23.27,23.82,23.4035,40578837
2021-05-21,23.88,24.09,23.03,23.49,23.0792,53933574
2021-05-24,23.48,23.6,23.19,23.48,23.0694,34393563
2021-05-25,23.54,24.73,23.45,24.6,24.1698,97237462
2021-05-26,24.64,25.12,24.5,25.01,24.5726,91926378
2021-05-27,24.91,25.16,24.52,24.79,24.3565,50409136
2021-05-28,24.68,24.71,24.16,24.5,24.0716,49240073
2021-05-31,24.33,24.53,23.91,24.2,23.7768,51535081
2021-06-01,24.2,24.25,23.5,23.92,23.5017,62501796
2021-06-02,23.89,23.92,23.38,23.89,23.4722,49752702
2021-06-03,23.72,24.14,23.68,23.77,23.3543,40090085
2021-06-04,23.99,24.96,23.8,24.54,24.1109,75673942
2021-06-07,24.48,24.48,23.93,24.3,23.8751,44791410
2021-06-08,24.15,24.57,23.95,24.53,24.101,57007792
